CoreName,Latitude,Longitude,WaterDepth,ProxyValue,ProxyType,SSTLower2s,SSTMedian,SSTUpper2s,Species,Cleaning,Reference
tn057-21pc,-41.1363,7.8097,4978,0.533697784,uk,11.44720658,14.20282889,16.96762545,,NaN,https://doi.org/10.1098/rsta.2013.0054
geob5844-2,27.714,34.6817,963,0.807825029,uk,19.60710024,22.47899204,25.6160631,,NaN,https://doi.org/10.1029/2002PA000864
geob3910-2,-4.245,-36.345,2362,0.896888971,uk,22.4572619,25.6612037,30.74959487,,NaN,https://doi.org/10.1130/0091-7613(2001)029%3C0239:MSCOSA%3E2.0.CO;2
md79-257,-20.4,36.33,1262,0.890500069,uk,22.23880184,25.36497161,30.08169723,,NaN,https://doi.org/10.1038/385707a0
su81-18,37.767,-10.183,3155,0.510666668,uk,10.76575107,13.52662676,16.26358149,,NaN,https://doi.org/10.1126/science.289.5483.1321
so136-gc11,-43.44,167.8506667,1556,0.376840025,uk,6.848408815,9.566597877,12.31412017,,NaN,https://doi.org/10.1126/science.1145873
me0005a-43jc,7.85583,-83.60833,1368,0.90853852,uk,22.84621157,26.13974172,31.3631038,,NaN,https://doi.org/10.1029/2005PA001208
knr195-5-cdh26,-3.986,-81.308667,1023,0.728252113,uk,17.22244466,20.04922285,22.87885552,,NaN,https://doi.org/10.1002/2015PA002816
md95-2043,36.1433,-2.621167,1841,0.452789158,uk,9.019921069,11.80317339,14.52999428,,NaN,https://doi.org/10.1029/1999PA900044
bs79-33,38.26167,14.03,1282,0.394800007,uk,7.309889431,10.07764254,12.84250903,,NaN,https://doi.org/10.1029/2000PA000502
md03-2611,-36.73,136.55,2420,0.422312528,uk,8.138253615,10.88409276,13.68064054,,NaN,https://doi.org/10.1029/2007GL029937
md07-3128,-52.6595,-75.566167,1032,0.252000004,uk,3.231351325,5.9234652,8.621312439,,NaN,https://doi.org/10.1029/2010PA002049
geob7702-3,31.652,34.0667,562,0.439199984,uk,8.640982054,11.41133736,14.18526183,,NaN,https://doi.org/10.1029/2009PA001740
nap_63-1,-24.8384,-44.318733,842,0.69599998,uk,16.23120727,19.06439868,21.89467301,,NaN,https://doi.org/10.1016/j.quascirev.2019.04.020
me0005a-27jc,-1.853333333,-82.78666667,2203,0.811000049,uk,19.70589499,22.56300127,25.80430378,,NaN,https://doi.org/10.1029/2009PA001781
tr163-19,2.258333333,-90.95166667,2348,0.855999947,uk,21.16663834,24.09299502,28.09417643,,NaN,https://doi.org/10.1029/2009PA001781
tr163-31,-3.618666667,-83.97066667,3205,0.746250033,uk,17.77193082,20.57452863,23.43732849,,NaN,https://doi.org/10.1029/2009PA001781
md95-2040,40.581833,-9.861167,2465,0.462625027,uk,9.319485459,12.09292401,14.89486439,,NaN,https://doi.org/10.1029/2009GC002398
md95-2042,37.799833,-10.1665,3146,0.522066653,uk,11.11982349,13.83941758,16.61683646,,NaN,https://doi.org/10.1029/2009GC002398
md06-3075,6.476167,125.832,1878,0.916285694,uk,23.10390049,26.46708175,31.75499312,,NaN,https://doi.org/10.1002/2013PA002599
station_5_pc,40,165.0667,5498,0.354999989,uk,6.213988337,8.916962898,11.67441472,,NaN,https://doi.org/10.1029/2004GC000740
station_6_mc,37.75,162.43,3130,0.451666683,uk,9.048236301,11.77449127,14.55725139,,NaN,https://doi.org/10.1029/2004GC000740
station_8s_pc,44.78333333,170.1666667,1780,0.266666651,uk,3.59682029,6.343127285,9.0749846,,NaN,https://doi.org/10.1029/2004GC000740
md01-2412,44.5275,145.004,1225,0.47573334,uk,9.738346896,12.48101058,15.21883421,,NaN,https://doi.org/10.1016/j.gloplacha.2006.01.010
scs90-36,17.995,111.494,2050,0.833000004,uk,20.42852777,23.2814458,26.78851503,,NaN,https://doi.org/10.1016/S0377-8398(97)00014-5
niop-c2_905_pc,10.7833,51.9333,1567,0.882470608,uk,21.98842521,25.08141224,29.79701296,,NaN,https://doi.org/10.1029/2005PA001215
so42-74kl,14.321,57.347,3212,0.871636331,uk,21.64366081,24.67219342,29.02186653,,NaN,https://doi.org/10.1029/2005PA001215
md98-2195,31.63883333,128.9438333,746,0.728730977,uk,17.2365826,20.02400384,22.86445793,,NaN,https://doi.org/10.1016/j.palaeo.2004.12.028
md01-2421,36.033,141.783,2224,0.632083297,uk,14.37188368,17.14174947,19.94249289,,NaN,https://doi.org/10.1130/G25667A.1
gik18252-3,9.250117,109.390767,1273,0.864070535,uk,21.41218989,24.37317362,28.47071877,,NaN,https://doi.org/10.1126/science.1057131
me0005a-24jc,0.02167,-86.46333,2941,0.818869531,uk,19.94140644,22.83561575,26.17208359,,NaN,https://doi.org/10.1038/nature05222
geob1023-5,-17.157217,11.011667,1978,0.643480003,uk,14.67474083,17.46485002,20.28384142,,NaN,https://doi.org/10.1016/S0012-821X(01)00545-3
