CoreName,Latitude,Longitude,WaterDepth,ProxyValue,ProxyType,SSTLower2s,SSTMedian,SSTUpper2s,Species,Cleaning,Reference
geob5844-2,27.714,34.6817,963,0.946491003,uk,24.14216942,27.85635738,33.74534551,,NaN,https://doi.org/10.1029/2002PA000864
geob3910-2,-4.245,-36.345,2362,0.959749997,uk,24.52678941,28.47308079,34.48260529,,NaN,https://doi.org/10.1130/0091-7613(2001)029%3C0239:MSCOSA%3E2.0.CO;2
md79-257,-20.4,36.33,1262,0.959714293,uk,24.56729963,28.43301005,34.4167765,,NaN,https://doi.org/10.1038/385707a0
su81-18,37.767,-10.183,3155,0.642857134,uk,14.66919781,17.45140778,20.25421181,,NaN,https://doi.org/10.1126/science.289.5483.1321
odp_167-1019c,41.6829,-124.932,946,0.430799991,uk,8.359417294,11.14675779,13.91284595,,NaN,https://doi.org/10.1029/2002PA000768
so136-gc11,-43.44,167.8506667,1556,0.543066621,uk,11.73271231,14.48167466,17.27690189,,NaN,https://doi.org/10.1126/science.1145873
jr51gc-35,66.5996,-17.5766,420,0.38829267,uk,7.189265206,9.912977672,12.64317924,,NaN,https://doi.org/10.1177/0959683607073269
me0005a-43jc,7.85583,-83.60833,1368,0.959999979,uk,24.54397738,28.49035041,34.4201002,,NaN,https://doi.org/10.1029/2005PA001208
knr195-5-cdh23,-3.749167,-81.134167,370,0.813735843,uk,19.81106007,22.67942205,25.96256148,,NaN,https://doi.org/10.1002/2015PA002816
knr195-5-cdh26,-3.986,-81.308667,1023,0.793925047,uk,19.24601141,22.04973445,25.09251378,,NaN,https://doi.org/10.1002/2015PA002816
md95-2043,36.1433,-2.621167,1841,0.655084074,uk,15.01982541,17.80748645,20.61711473,,NaN,https://doi.org/10.1029/1999PA900044
bs79-33,38.26167,14.03,1282,0.628166616,uk,14.25588913,17.01771953,19.78763203,,NaN,https://doi.org/10.1029/2000PA000502
