Latitude,Longitude,Lower2s,Median,Upper2s,ProxyType,Species
-55,73.3,-2.92729599781805,-1.37933862440934,0.302709224763279,delo,pachy
-53,-58,1.42619101746967,2.77389752443216,4.2535525480565,uk,
-51.1,67.7,-4.81043674556819,-3.19236408652739,-0.570439456954374,delo,pachy
-48.1,146.9,-4.78452302818138,-3.37083799509591,-1.88612251190754,uk,
-46.1,90.1,-4.94976386687734,-3.47051289314958,-1.91927079793785,delo,bulloides
-46,96.5,-4.12135814627763,-2.67516817625377,-1.3354726183474,delo,bulloides
-46,96.5,-4.10283992095949,-2.68176189492357,-1.33198329133551,delo,pachy
-45.6,86.5,-4.77269363153896,-3.34065590018631,-1.93996893920316,delo,bulloides
-45.6,86.5,-6.18982044762874,-4.70214526409886,-3.35144992361768,delo,pachy
-45.6,86.5,1.84509515081851,3.28279337525235,4.59316878279921,uk,
-45.5,174.9,-3.99668540343291,-2.68008075131002,-1.30615197630532,delo,bulloides
-45.5,174.9,-6.55803480288537,-5.04573848580291,-3.60496782861328,mg,bulloides
-45.5,174.9,-4.72020518505776,-3.33321440631729,-1.92500212200525,uk,
-44.2,-14.2,-1.06293071730408,0.364521634552041,1.72406967329891,delo,bulloides
-43.8,51.3,-0.133779096297935,1.30635716657209,2.66501380439143,delo,bulloides
-43.8,51.3,-7.93684397440119,-6.45755175031986,-4.91879719870827,delo,pachy
-43.5,79.8,-4.62107276102307,-3.26665321815961,-1.82361804667031,delo,bulloides
-43.5,79.9,-6.6633800477023,-5.16089213551787,-3.63160559872657,mg,bulloides
-43.4,167.9,-6.31661883796145,-4.83670796563309,-3.28500345582913,uk,
-42.9,9,-3.40031582327085,-2.02262800275229,-0.530829464080805,delo,bulloides
-42.5,178.6,-4.40800837497522,-3.00310439303528,-1.64880323769214,uk,
-42.4,179.5,-11.2271627580759,-9.78752943207198,-8.28780827419754,uk,
-41.6,-171.5,-7.49531377786647,-6.08294935008731,-4.66864056108827,uk,
-41,-74.4,-5.62015809115191,-4.17318831296254,-2.73939703697212,uk,
-40.4,178,-4.95352799755045,-3.47119405905619,-2.02854783709162,uk,
-37,137.4,-8.36537305371235,-7.04843046152928,-5.68589784922822,tex,
-37,137.4,-10.1435625393779,-8.7677994740627,-7.38631179988956,uk,
-36.7,136.6,-6.15574589268853,-4.76697493446125,-3.34418272996415,delo,bulloides
-36.7,136.6,-8.23825114425468,-6.74997763350566,-5.45690661978305,uk,
-34.7,17.3,-2.26559512694131,-0.90102706243483,0.699173201791059,delo,ruber
-34.7,17.3,-3.27666547718598,-1.94021456005129,-0.553163643181882,mg,ruber
-33.2,31.2,-5.89875772429018,-3.75046484567116,-2.2633820163205,uk,
-31,114.6,0.585861921512196,2.08996378512223,5.09755485838013,uk,
-28.7,113.4,-1.4808229936997,-0.00952647551078378,1.69831473476125,uk,
-27.9,-45.9,-4.37768826358641,-2.98173849326795,-1.53967897910966,delo,ruber
-27.9,-45.9,-3.86617772746818,-2.27187463673417,-0.830336632940092,delo,sacculifer
-27.9,-45.9,-5.94539850084939,-3.14283099457674,-1.59134071818123,uk,
-27.5,-45.5,-3.01031792122744,-1.5548623344756,-0.165015906426111,delo,ruber
-27.2,-46.5,-5.76904369480972,-4.10553675756635,-2.75412958718101,uk,
-25.5,13,-4.19071168438355,-2.75115239023484,-1.2647601238792,mg,bulloides
-24.8,-44.3,-3.96752134487126,-2.55061466424028,-1.17682715003053,tex,
-24.8,-44.3,-5.89799645015907,-4.48881148303295,-3.0989349513564,uk,
-24.8,111.8,-3.53953222326087,-1.71530650155191,-0.258694533041147,uk,
-23.4,11.7,-5.56182714129931,-3.99216450978455,-2.69463078776612,uk,
-23.3,12.4,-4.98459971714894,-3.45056096277914,-2.127834954884,uk,
-23.3,12.8,-2.37602626125717,-0.93706040283573,0.440850291879068,uk,
-22.9,6,-5.40061885844108,-4.01899299187606,-2.51697328139219,uk,
-22.1,113.5,-1.55903420275862,-0.0604752615789632,1.35418010434145,uk,
-21.6,-40,-2.87138600983694,-1.4114192006273,0.0172156254218372,delo,ruber
-21.6,-40,-3.28228489452587,-1.8970164385624,-0.499487736369826,delo,sacculifer
-20.8,-39.9,-5.22798915621567,-3.75956706006924,-2.383857807843,delo,sacculifer
-20.8,-39.9,-4.89732238166547,-2.21221074793174,-0.489475853014962,uk,
-20.4,36.3,-4.21907550087298,-2.68320795368066,-0.909319451097414,uk,
-20.1,9.2,-4.86306744448211,-3.42834734496002,-2.03282534090542,uk,
-19.6,11.2,-2.52834196125372,-1.10540027350662,0.275720397589565,uk,
-19.6,37,-4.21499010903456,-2.93285875185119,-1.43391543003377,delo,ruber
-18.6,116.3,-1.77476115285882,-0.412850410561012,1.04311854230094,uk,
-17.9,38.7,-2.57121094432934,-1.21109747097726,0.14014986306319,delo,ruber
-17.9,38.7,-2.87304516032394,-1.30229270615546,0.133351520983478,uk,
-17.2,-78.1,-8.82163405027424,-7.39112465370963,-5.96033536750342,delo,bulloides
-17.2,-78.1,-4.31844364051446,-2.85965180243806,-1.35023747113471,uk,
-17.2,11,-6.33049464238327,-4.85828916462825,-3.48784488998881,delo,bulloides
-17.2,11,-4.43336987230264,-3.02623866776714,-1.58145403609494,uk,
-15.3,119.5,-4.15796127412439,-2.67602484414374,-1.25815450672123,delo,ruber
-15.3,119.5,-4.5302390474933,-3.20296914096085,-1.61186920829788,mg,ruber
-15,120.7,-4.96736206946239,-3.43907766313816,-2.04361574004439,delo,ruber
-15,120.7,-5.05419858943705,-3.63987507197747,-2.23541099155838,mg,ruber
-13.9,120,-4.61406802114101,-3.17147559558999,-1.76549759578488,delo,ruber
-13.9,120,-4.70714750439088,-3.36780272451468,-1.87533851155396,mg,ruber
-13.1,121.4,-3.01189798208416,-1.62468790157256,-0.121580047984866,delo,ruber
-13.1,121.8,-3.32771550094062,-2.00660764808378,-0.668136445682595,delo,ruber
-13.1,121.8,-4.24089412056556,-2.83832784794059,-1.40173316705871,mg,ruber
-12.2,121.6,-3.3373168434127,-1.70871836956938,-0.389323717645697,delo,ruber
-12.2,122.1,-2.95051683034101,-1.68992929144807,-0.269227663910469,delo,ruber
-11.9,13.4,-4.78699518011414,-2.79193629678266,-1.36530873456776,uk,
-11.6,122.1,-3.74254550852265,-2.39745131568992,-1.06857229193011,delo,ruber
-11.5,122.4,-4.83727774740762,-3.47875790132792,-2.10093146911508,delo,ruber
-11.5,122.4,-1.93010527362184,-0.5630263421231,0.915075665131173,mg,ruber
-11.3,121.7,-4.49633744920504,-3.04444646044075,-1.52341711106138,delo,ruber
-11,121,-5.26431131777445,-3.7306270208703,-2.37881894921802,delo,ruber
-11,121,-4.25199843340277,-2.77873525824748,-1.47988160803467,mg,ruber
-11,121.7,-3.202738968311,-1.8016639233108,-0.510410775613224,mg,ruber
-10.8,120.7,-4.06130970266596,-2.71819347578064,-1.33530007379526,delo,ruber
-10.8,120.7,-3.62500320718435,-2.2686932927687,-0.8382106903061,mg,ruber
-10.6,125.4,-3.24613243344278,-1.88286180597432,-0.444450763430996,delo,ruber
-10.6,125.4,-4.3846834366658,-3.04368375721985,-1.68609539273492,mg,ruber
-10.2,51,0.00255276757076572,1.52268048339307,3.04779475538681,delo,ruber
-10.2,51,-1.74718493221855,-0.343384824550236,1.00679818581819,mg,ruber
-9.7,118.3,-4.53100000715298,-3.16307012367503,-1.79044879452017,delo,ruber
-9.7,118.4,-4.47387504796165,-3.06978833047945,-1.60574066860154,mg,ruber
-9.1,129.2,-3.78020862471346,-2.30659904881399,-0.916828660777655,delo,ruber
-9.1,129.2,-3.56110212209145,-2.28303193321781,-0.870186037066668,mg,ruber
-9,120,-3.86538897784782,-2.44351311017465,-0.977246951659252,delo,ruber
-9,120,-2.66853144524298,-1.22404662215689,0.156422408212972,mg,ruber
-8.8,128.6,-4.6689326748986,-3.35821426903828,-1.80528114564297,delo,ruber
-8.8,128.6,-5.42089808857838,-4.05056255997575,-2.67741928821083,mg,ruber
-8.7,112.9,-4.09033658108457,-2.59111899627418,-1.24432808504771,delo,bulloides
-8.7,112.9,-3.4216905417891,-2.00503722467023,-0.610627960735547,delo,ruber
-8.5,-34,-4.45919322753596,-3.09037234631949,-1.66697182772631,delo,sacculifer
-8.5,128.2,-4.80659169902006,-3.30109222445809,-1.92799181556155,delo,ruber
-8.5,128.2,-4.10956435604208,-2.66408469299682,-1.23578805491874,mg,ruber
-7.1,39.8,-4.02907653548219,-2.49649240493203,-1.07147390151103,delo,ruber
-7.1,39.8,-4.38811258347978,-2.97756789928685,-1.45003996143242,mg,ruber
-7,-34.4,-4.75295913243133,-3.17498786675156,-1.76351021823562,delo,sacculifer
-6.9,9,-7.3904433024222,-4.28994076707287,-2.71241102482761,uk,
-6.6,10.3,-7.22938712977022,-4.16302865239934,-2.59023362170002,uk,
-6.1,102.4,-4.20255350444845,-2.77712090444174,-1.27581072521083,delo,ruber
-5.9,103.3,-5.64021656202537,-4.29929560278851,-2.86262439634047,delo,ruber
-5.9,103.3,-3.45697611649217,-2.07198700122776,-0.721382807693551,mg,ruber
-5.8,127,-3.73691962528845,-2.33133558917668,-0.775093353270378,delo,ruber
-5.6,11.2,-4.0715270355546,-2.70847266617373,-1.33938269961564,delo,ruber
-5.6,11.2,-3.86973731494056,-2.37673519900359,-0.90726126670015,uk,
-5.5,-106.8,-1.0960767660873,0.29620112346281,1.60423525683322,delo,ruber
-5.5,-106.8,-2.0303641624042,-0.641875150217261,0.763647406020528,delo,sacculifer
-5.2,10.4,-7.79993003347224,-2.77720123898792,-1.03483672296174,uk,
-5.2,117.5,-4.50966041045271,-3.082905796506,-1.67915453042124,delo,ruber
-5.2,117.5,-4.45967922156249,-3.05669357116178,-1.67047077372591,mg,ruber
-5,133.4,-3.35770608537269,-1.9972967001292,-0.55606775579863,delo,ruber
-5,133.4,-4.23376112396038,-2.90695154997043,-1.54341723872774,mg,ruber
-4.8,39.4,-3.57205375880017,-2.17002613606715,-0.669237602459447,delo,ruber
-4.8,39.4,-2.77117046536922,-1.34857670199019,0.0314722324765579,mg,ruber
-4.7,117.9,-4.459045219938,-3.02766482158655,-1.54208399738088,delo,ruber
-4.7,117.9,-4.73883383996739,-3.44556590434643,-2.02225817291974,mg,ruber
-4.3,-37.1,-5.92114161910844,-4.40004230923034,-3.0315537125569,delo,sacculifer
-4.2,-36.3,-5.35293547702268,-2.88165186758679,-1.01216849002723,uk,
-4,-81.3,-3.39110837884906,-1.96738654517907,-0.541609491812206,uk,
-3.8,-14.9,-4.49913542673052,-2.63596930313077,-1.01177124898137,uk,
-3.7,-37.7,-2.1035817940676,-0.689115360767774,0.650220341740049,delo,ruber
-3.7,-37.7,-3.8830815260435,-2.36285769695447,-0.948197878549008,delo,sacculifer
-3.6,-84,-2.65579146560795,-1.29754878362977,0.0568133741455554,uk,
-3.5,-7.6,-7.31560328875019,-4.65265074044265,-2.66424803294307,uk,
-3.4,-83.5,-3.36787111737606,-2.00036913384754,-0.418531882270152,uk,
-3.1,-90.8,-3.87811495946968,-2.3072451780866,-0.85368434285779,uk,
-2.9,-87.8,-4.25540017065992,-2.86018116881929,-1.56993292563121,delo,ruber
-2.9,-87.8,-4.58326552354528,-3.12329777775068,-1.76442964513081,delo,sacculifer
-2.8,144.5,-3.51940342385042,-2.03619577106969,-0.624668290816661,delo,ruber
-2.4,-84.7,-3.2074571842388,-1.81693290130228,-0.423368441750354,delo,ruber
-2.4,-84.7,-1.4318032840186,-0.0525903150409981,1.41618893173735,delo,sacculifer
-2.4,-84.7,-5.31831990300519,-2.52197204038882,-1.02928398614141,uk,
-2.2,-11.3,-3.23974716307733,-1.80529291723918,-0.382144409787687,delo,ruber
-2.2,-11.3,-4.09192007118265,-2.82021912168487,-1.49488482021621,mg,ruber
-2.2,5.1,-2.62139779709927,-1.24165123144954,0.170576894801755,delo,ruber
-2.2,157,-4.08692902856544,-2.77403947966824,-1.37930610017801,delo,sacculifer
-2.2,157,-4.65061081760666,-3.12100560115221,-1.69406939755794,mg,sacculifer
-1.9,-82.8,-3.47309716530759,-1.86242188220567,-0.421436925365612,uk,
-1.7,-12.4,-4.49717257397618,-3.20218561530854,-1.66805176199068,delo,ruber
-1.7,-12.4,-4.32370922263421,-2.86694969129334,-1.51052003404426,delo,sacculifer
-1.7,-12.4,-2.79276553444088,-1.41889989222538,0.0821681557624014,mg,sacculifer
-1.7,-12.4,-5.79346334431302,-3.26232173883361,-1.57394739295252,uk,
-1.5,-85.8,-2.39259553334824,-0.909577942660635,0.52058293365341,delo,ruber
-1.5,-85.8,-2.32552695913322,-0.949585935308056,0.450532110391299,delo,sacculifer
-1.5,100.1,-3.86646667228404,-2.49580759562301,-1.17252887564008,delo,ruber
-1.5,100.1,-4.5758208792069,-3.27665980422076,-1.95846567172404,mg,ruber
-1.3,-12,-6.86275660982148,-4.55468654024194,-2.7352056549163,uk,
-1.3,-11.9,-1.99700072650503,-0.58976378140612,0.751697037429011,delo,ruber
-1.3,-11.9,-2.49588044214547,-1.01853350094418,0.327625589773046,mg,ruber
-1.2,-89.7,-3.30100632680525,-1.91704880694283,-0.644592717734996,delo,ruber
-1.2,-89.7,-2.08761307876957,-0.606044340270858,0.712192819019497,delo,sacculifer
-1.2,-89.7,-3.35089262562522,-1.96884625175208,-0.580213111330071,mg,ruber
-1.2,-89.7,-3.10313441066678,-1.75588537372757,-0.335693360941908,mg,sacculifer
-1.2,-89.7,-2.45643933012689,-1.08014526536046,0.52684455710312,uk,
-0.8,99.9,-4.3840819607501,-3.06793209837602,-1.64330888694254,delo,ruber
-0.8,99.9,-5.15213587625063,-3.53408353822358,-2.13984109275854,mg,ruber
-0.5,-82.1,-3.38102866741738,-2.01110695765241,-0.589450075336405,delo,ruber
-0.5,-82.1,-4.26052376349539,-2.89229657934565,-1.47943359380359,delo,sacculifer
-0.5,-82.1,-4.33560784759012,-2.19104450259411,-0.665008453559729,uk,
-0.2,-23.2,-3.96555831619068,-2.48968017660992,-1.09674599242933,delo,ruber
-0.2,-23.2,-5.34844346986413,-4.04679945800524,-2.62099913828649,mg,ruber
0,-86.5,-6.1415847690324,-3.53813532339531,-1.90269425722883,uk,
-0,46,-3.60124855226116,-1.8107163263194,0.122321638434352,uk,
0.3,159.4,-1.4598480607972,-0.0377303694545148,1.43056297504959,delo,ruber
0.3,159.4,-4.3645253447098,-2.99801336982129,-1.55784692392745,mg,ruber
0.4,-92.2,-3.59392093130862,-2.1924541471672,-0.904088726311132,delo,ruber
0.5,-92.4,-3.07658563943435,-1.5688808387986,-0.0881956542746085,delo,ruber
0.5,-92.4,-2.85551682453,-1.42889025868498,-0.116509253079592,mg,ruber
0.5,-92.4,-3.70799787585414,-2.10100675876372,-0.64098117304529,uk,
0.6,-93.3,-2.10826904742959,-0.7401933912569,0.599444040542519,delo,ruber
1,-139,-2.53072307813456,-1.05531639027546,0.505290492504896,uk,
1,-89.4,-1.46736732400892,-0.0987257166096072,1.32164450935411,delo,sacculifer
1.2,98.1,-3.76260018816659,-2.27980326193853,-0.875325810710999,delo,ruber
1.3,44.8,-5.2544074388975,-3.82165871215291,-2.3990887262943,delo,ruber
1.3,44.8,-5.41873935374491,-4.06794080587801,-2.73151480917735,mg,ruber
